Megnevezés;Eredeti elõirányzat
Széchenyi Irodalmi és Mûvészeti Akadémia Titkársága bevételei (B21106);500000
Külgazdasági és Külügyminisztérium fejezeti bevételei (B2111);9078400000
Külképviseletek igazgatásának bevételei (B21111);8647600000
Külgazdasági és Külügyminisztérium központi igazgatásának bevételei (B21112);204600000
Információs Hivatal bevételei (B21113);226200000
Az állami vagyonnal kapcsolatos bevételek (B2112);7245000000
Magyar Nemzeti Vagyonkezelõ Zrt.-vel és állami örökléssel kapcsolatos értékesítési bevételek (B21121);3250000000
Magyar Nemzeti Vagyonkezelõ Zrt.-vel kapcsolatos bérleti díjak bevételei (B21122);1635000000
Magyar Nemzeti Vagyonkezelõ Zrt.-vel kapcsolatos vegyes bevételek (B21123);1200000000
Magyar Nemzeti Vagyonkezelõ Zrt. vagyonkezelõi díja (B21124);1131000000
A Nemzeti Vízmûvek Zrt. tulajdonosi joggyakorlásával kapcsolatos vagyonkezelési és üzemeltetési díj (B21125);25000000
A Nemzeti Vízmûvek Zrt. tulajdonosi joggyakorlásával kapcsolatos egyéb bevételek (B21126);4000000
Egyéb minisztériumok és állami szervek bevételei (B2113);7790100000
Bíróságok bevételei (B211301);3066100000
Nemzeti Kutatási, Fejlesztési és Innovációs Hivatal (NKFI) bevételei (B211302);2524300000
Központi Statisztikai Hivatal (KSH) bevételei (B211303);928700000
Igazságügyi Minisztérium igazgatásának bevételei (B211304);380200000
Miniszterelnöki Kabinetiroda bevételei (B211305);380000000
Kúria bevételei (B211306);192000000
Nemzeti Kommunikációs Hivatal bevételei (B211307);125000000
Gazdasági Versenyhivatal (GVH) igazgatása bevételei (B211308);60000000
Ügyészségek bevételei (B211309);102000000
Állami Számvevõszék (ÁSZ) bevételei (B211310);20000000
Budapesti Versenyügyi Regionális Oktatási Központ bevételei (B211311);10800000
Alapvetõ Jogok Biztosának Hivatala bevételei (B211312);1000000
Pénzalapok bevételei (B22);8,24038E+11
Nemzeti Kutatási Fejlesztési és Innovációs Alap bevételei (B221);1,31347E+11
Bethlen Gábor Alap bevételei (B222);33830800000
Központi Nukleáris Pénzügyi Alap bevételei (B223);54819300000
Nemzeti Kulturális Alap bevételei (B224);1200000000
Gazdaság-újraindítási Alap bevételei (B225);5,97496E+11
Szakképzési hozzájárulás (Foglalkoztatási Alap) (B2251);68700000000
Társadalombiztosítási járulék Foglalkoztatási Alapot megilletõ része (B2252);2,675E+11
Alapok alapjának bevételei és egyéb, itt kimutatott uniós programok (B2253);2,08232E+11
Gazdaságfejlesztési és innovációs operatív (GINOP, GINOP Plusz) program befektetési alapjai (B22531);2,07E+11
Alapok alapja egyéb (VEKOP, EFOP) és korábbi évek itt kimutatott programjainak bevételei (B22532);1231900000
Foglalkoztatási Alap bevétele költségvetési támogatásból (B2254);49800000000
Egyéb bevételek (Gazdaság-újraindítási Alap) (B2255);3400000000
Nemzeti Földalap bevételei (B226);5345000000
Közvetlen állami bevételek (B23);1,01889E+12
Díjak bevételei (B231);5,79165E+11
Megtett úttal arányos útdíj (B2311);2,63E+11
Frekvencia használati jog értékesítésébõl származó bevételek (B2312);1,502E+11
Környezetvédelmi termékdíjak (B2313);85000000000
Idõalapú útdíj (B2314);74000000000
Egyéb díjak (B2315);6965100000
Koncessziós díjak (B23151);6631500000
Távközlési koncessziókból származó díj (B23152);333600000
Nemzeti Kutatási, Fejlesztési és Innovációs Alap befizetése (B232);21177800000
Kötvények, osztalékbevétel, kamatok (B233);1,20574E+11
Kamatelszámolások (B2331);92672300000
Hiányt finanszírozó és adósságmegújító államkötvények kamatelszámolásai (B23311);82134600000
Kincstári egységes számla forintbetét kamatelszámolásai (B23312);9533900000
Repóügyletek kamatelszámolásai (B23313);1003800000
Osztalékbevétel (B2332);15550000000
Kötvények bevételei (B2333);12351700000
Lakossági kötvények (B23331);11846400000
Belföldi devizakötvények (B23332);505300000
Bírságbevételek (B234);54500000000
Önkormányzati szolidaritási hozzájárulásból származó bevételek (B235);1,298E+11
Egyéb közvetlen állami bevételek (B236);1,03668E+11
Központi költségvetési szervek befizetései (B2361);26166200000
Egyéb központosított bevételek (B2362);58983600000
Hulladéklerakási járulékból származó bevétel (B2363);18386100000
Nemzeti tervvagyonhoz kapcsolódó bevételek (B2364);124700000
Radioaktív hulladékok végleges, eseti elhelyezésébõl származó bevételek (B2365);7100000
Eszközök, ingatlanok és tulajdonosi részesedések értékesítésének bevételei (B237);10003000000
Ingatlan értékesítésbõl származó bevételek (B2371);8700000000
Egyéb eszközök értékesítésbõl származó bevételek (B2372);1300000000
Tulajdoni részesedések értékesítésébõl származó bevétel (B2373);3000000
Adóbevételek (B3);1,19001E+13
Vállalkozások adói (B31);1,43782E+12
Társasági adó (B3101);5,887E+11
Pénzügyi szervezetek különadója (B3102);60900000000
Kisadózók tételes adója (B3103);2,368E+11
Kisvállalati adó (B3104);1,21216E+11
Közmûadó (B3105);53400000000
Ökoadó (B3106);5500000000
Bányajáradék (B3107);38000000000
Játékadó (B3108);46600000000
Energiaellátók jövedelemadója (B3109);54800000000
Cégautóadó (B3110);39300000000
Kiskereskedelmi adó (B3111);76300000000
Rehabilitációs hozzájárulás (B3112);1,163E+11
Lakosság adói (B32);3,1557E+12
Személyi jövedelemadó (SZJA) (B321);2,8665E+12
Lakossági illetékek (B322);1,987E+11
Gépjármûadó (B323);90500000000
Fogyasztáshoz kapcsolt adók (B33);7,30663E+12
Általános forgalmi adó (ÁFA) (B331);5,48713E+12
Jövedéki adó (B332);1,2962E+12
Regisztrációs adó (B333);24800000000
Távközlési adó (B334);53300000000
Pénzügyi tranzakciós illeték (B335);2,325E+11
Biztosítási adó (B336);1,154E+11
Turizmusfejlesztési hozzájárulás (B337);33500000000
Népegészségügyi termékadó (B338);63800000000
Uniós programok bevételei (B4);2,47003E+12
Elõzõ években teljesített kiadások uniós bevétele (B41);1,39188E+12
Kohéziós Operatív Programok bevételei (B411);1,28785E+12
Vidékfejlesztési Program (VP) bevételei (B412);55445900000
Európai Hálózatfinanszírozási Eszköz bevételei (B413);40840300000
Magyar Halgazdálkodási Operatív Program (MAHOP) bevételei (B414);3376000000
Egyéb programok bevételei (B415);4369300000
2021. évi kiadások uniós bevétele (B42);1,05954E+11
Vidékfejlesztési Program (VP) (B421);96554100000
Egyéb programok (B422);9400000000
Kohéziós Operatív Programok (B43);4,99884E+11
Helyreállítási Alap (B44);3,48492E+11
Elõfinanszírozott uniós programok kiadásainak visszatérülése (B45);80000000000
Egyéb uniós programok bevételei (B46);43827000000
Vámbeszedési költség megtérítése (B461);22400000000
Európai Területi Együttmûködés (B462);11160700000
Az Európai Uniós finanszírozású projektek megelõlegezéseinek visszatérülése (B463);4500000000
Egyéb programok (B464);5430200000
Európai Uniós és nemzetközi projektek megvalósításához kapcsolódó bevételek (B465);200000000
Költségvetési hiány (B5);3,15265E+12
