Megnevezés;Eredeti elõirányzat
Szociális, gyermekvédelmi, gyermekjóléti és fogyatékos személyek esélyegyenlõségét elõsegítõ kiadások (K3010109);2,07E+11
Szociális célú nem állami humánszolgáltatások támogatása (K301010901);1,71E+11
Egyéb szociális, gyermekjóléti és gyermekvédelmi szolgáltatások sajátos finanszírozása (K301010902);3391200000
"Szociális humánszolgáltatók, köztestületi szociális intézmények részére biztosított szociális- és gyermekvédelmi ágazati pótlék; egyéb ágazati bérrendezéssel összefüggõ támogatások (K301010903)";17388200000
Egyes szociális, gyermekvédelmi, gyermekjóléti és fogyatékos személyek esélyegyenlõségét elõsegítõ ágazati szakmai programok támogatása (K301010904);8652700000
Gyermekvédelmi Lakás Alap (K301010905);1190000000
Fejlesztõ foglalkoztatás támogatása (K301010906);2968800000
Szociális és fogyatékossággal élõk társadalmi szervezeteinek támogatása (K301010907);2120800000
Közgyógyellátás és egyéb egészségügyi kiadások (K3010110);41180600000
Közgyógyellátás kiadásai (K301011001);17349900000
Gyógyszertári tulajdoni hányad állami elõvásárlása és értékesítése kiadásai (K301011002);250000000
Egészségügyi ellátási és fejlesztési feladatok kiadásai (K301011003);7019500000
Egészségügyi intézmények fejlesztése és rendkívüli támogatása (K301011004);9484800000
Nemzeti Népegészségügyi Stratégiával összefüggõ feladatok kiadásai (K301011005);6750000000
Egészségügyi társadalmi, civil és non-profit szervezetek mûködési támogatása (K301011006);326400000
Kulturális- és sporttámogatások (K30102);1,20E+12
Sporttámogatások (K3010201);80425400000
Nemzeti Sportközpontok kiadásai (K301020101);16954400000
Versenysport és szakmai feladatok támogatása (K301020102);17114400000
A Magyar Labdarúgó Szövetség (MLSZ) támogatása (K301020103);6956000000
Sporteredmények, sportszakmai tevékenységek elismerése (K301020104);9139800000
Sportegészségügy, sporttudomány támogatása (K301020105);932000000
Sport népszerûsítésével, diák- és szabadidõsporttal kapcsolatos támogatások (K301020106);1766100000
Sportági fejlesztési koncepciók támogatása (K301020107);20774100000
Kiemelt sportegyesületek támogatása (K301020108);6788600000
Kulturális támogatások (K3010202);1,24E+11
Petõfi Irodalmi Múzeum támogatása (K301020201);6852300000
Közgyûjtemények támogatása (K301020202);23989400000
Mûvészeti intézmények támogatása (K301020203);23024400000
Egyéb kulturális intézmények támogatása (K301020204);2571900000
Mûvészeti tevékenységek és egyéb feladatok támogatása (K301020205);45346400000
